var_name	CDS_name	levels	type
u100	100m_u_component_of_wind	single	instantaneous
v100	100m_v_component_of_wind	single	instantaneous
u10n	10m_u_component_of_neutral_wind	single	instantaneous
u10	10m_u_component_of_wind	single	instantaneous
v10n	10m_v_component_of_neutral_wind	single	instantaneous
v10	10m_v_component_of_wind	single	instantaneous
fg10	10m_wind_gust_since_previous_post_processing	single	maximum
d2m	2m_dewpoint_temperature	single	instantaneous
t2m	2m_temperature	single	instantaneous
rhoao	air_density_over_the_oceans	single	instantaneous
acwh	altimeter_corrected_wave_height	single	instantaneous
arrc	altimeter_range_relative_correction	single	instantaneous
awh	altimeter_wave_height	single	instantaneous
anor	angle_of_sub_gridscale_orography	single	invariant
isor	anisotropy_of_sub_gridscale_orography	single	invariant
bfi	benjamin_feir_index	single	instantaneous
bld	boundary_layer_dissipation	single	accumulated
blh	boundary_layer_height	single	instantaneous
chnk	charnock	single	instantaneous
cdir	clear_sky_direct_solar_radiation_at_surface	single	accumulated
cbh	cloud_base_height	single	instantaneous
cdww	coefficient_of_drag_with_waves	single	instantaneous
cape	convective_available_potential_energy	single	instantaneous
cin	convective_inhibition	single	instantaneous
cp	convective_precipitation	single	accumulated
crr	convective_rain_rate	single	instantaneous
csf	convective_snowfall	single	accumulated
csfr	convective_snowfall_rate_water_equivalent	single	instantaneous
uvb	downward_uv_radiation_at_the_surface	single	accumulated
dctb	duct_base_height	single	instantaneous
lgws	eastward_gravity_wave_surface_stress	single	accumulated
ewss	eastward_turbulent_surface_stress	single	accumulated
e	evaporation	single	accumulated
fal	forecast_albedo	single	instantaneous
flsr	forecast_logarithm_of_surface_roughness_for_heat	single	instantaneous
fsr	forecast_surface_roughness	single	instantaneous
wstar	free_convective_velocity_over_the_oceans	single	instantaneous
zust	friction_velocity	single	instantaneous
gwd	gravity_wave_dissipation	single	accumulated
hcc	high_cloud_cover	single	instantaneous
cvh	high_vegetation_cover	single	invariant
istl1	ice_temperature_layer_1	single	instantaneous
istl2	ice_temperature_layer_2	single	instantaneous
istl3	ice_temperature_layer_3	single	instantaneous
istl4	ice_temperature_layer_4	single	instantaneous
i10fg	instantaneous_10m_wind_gust	single	instantaneous
iews	instantaneous_eastward_turbulent_surface_stress	single	instantaneous
ilspf	instantaneous_large_scale_surface_precipitation_fraction	single	instantaneous
ie	instantaneous_moisture_flux	single	instantaneous
inss	instantaneous_northward_turbulent_surface_stress	single	instantaneous
ishf	instantaneous_surface_sensible_heat_flux	single	instantaneous
kx	k_index	single	instantaneous
lblt	lake_bottom_temperature	single	instantaneous
cl	lake_cover	single	invariant
dl	lake_depth	single	invariant
licd	lake_ice_depth	single	instantaneous
lict	lake_ice_temperature	single	instantaneous
lmld	lake_mix_layer_depth	single	instantaneous
lmlt	lake_mix_layer_temperature	single	instantaneous
lshf	lake_shape_factor	single	instantaneous
ltlt	lake_total_layer_temperature	single	instantaneous
lsm	land_sea_mask	single	invariant
lsp	large_scale_precipitation	single	accumulated
lspf	large_scale_precipitation_fraction	single	accumulated
lsrr	large_scale_rain_rate	single	instantaneous
lsf	large_scale_snowfall	single	accumulated
lssfr	large_scale_snowfall_rate_water_equivalent	single	instantaneous
lai_hv	leaf_area_index_high_vegetation	single	instantaneous
lai_lv	leaf_area_index_low_vegetation	single	instantaneous
lcc	low_cloud_cover	single	instantaneous
cvl	low_vegetation_cover	single	invariant
mx2t	maximum_2m_temperature_since_previous_post_processing	single	maximum
hmax	maximum_individual_wave_height	single	instantaneous
mxtpr	maximum_total_precipitation_rate_since_previous_post_processing	single	maximum
mbld	mean_boundary_layer_dissipation	single	mean rate
mcpr	mean_convective_precipitation_rate	single	mean rate
mcsr	mean_convective_snowfall_rate	single	mean rate
mdts	mean_direction_of_total_swell	single	instantaneous
mdww	mean_direction_of_wind_waves	single	instantaneous
megwss	mean_eastward_gravity_wave_surface_stress	single	mean rate
metss	mean_eastward_turbulent_surface_stress	single	mean rate
mer	mean_evaporation_rate	single	mean rate
mgwd	mean_gravity_wave_dissipation	single	mean rate
mlspf	mean_large_scale_precipitation_fraction	single	mean rate
mlspr	mean_large_scale_precipitation_rate	single	mean rate
mlssr	mean_large_scale_snowfall_rate	single	mean rate
mngwss	mean_northward_gravity_wave_surface_stress	single	mean rate
mntss	mean_northward_turbulent_surface_stress	single	mean rate
mpts	mean_period_of_total_swell	single	instantaneous
mpww	mean_period_of_wind_waves	single	instantaneous
mper	mean_potential_evaporation_rate	single	mean rate
mror	mean_runoff_rate	single	mean rate
msl	mean_sea_level_pressure	single	instantaneous
mser	mean_snow_evaporation_rate	single	mean rate
msr	mean_snowfall_rate	single	mean rate
msmr	mean_snowmelt_rate	single	mean rate
msqs	mean_square_slope_of_waves	single	instantaneous
mssror	mean_sub_surface_runoff_rate	single	mean rate
msdrswrf	mean_surface_direct_short_wave_radiation_flux	single	mean rate
msdrswrfcs	mean_surface_direct_short_wave_radiation_flux_clear_sky	single	mean rate
msdwlwrf	mean_surface_downward_long_wave_radiation_flux	single	mean rate
msdwlwrfcs	mean_surface_downward_long_wave_radiation_flux_clear_sky	single	mean rate
msdwswrf	mean_surface_downward_short_wave_radiation_flux	single	mean rate
msdwswrfcs	mean_surface_downward_short_wave_radiation_flux_clear_sky	single	mean rate
msdwuvrf	mean_surface_downward_uv_radiation_flux	single	mean rate
mslhf	mean_surface_latent_heat_flux	single	mean rate
msnlwrf	mean_surface_net_long_wave_radiation_flux	single	mean rate
msnlwrfcs	mean_surface_net_long_wave_radiation_flux_clear_sky	single	mean rate
msnswrf	mean_surface_net_short_wave_radiation_flux	single	mean rate
msnswrfcs	mean_surface_net_short_wave_radiation_flux_clear_sky	single	mean rate
msror	mean_surface_runoff_rate	single	mean rate
msshf	mean_surface_sensible_heat_flux	single	mean rate
mtdwswrf	mean_top_downward_short_wave_radiation_flux	single	mean rate
mtnlwrf	mean_top_net_long_wave_radiation_flux	single	mean rate
mtnlwrfcs	mean_top_net_long_wave_radiation_flux_clear_sky	single	mean rate
mtnswrf	mean_top_net_short_wave_radiation_flux	single	mean rate
mtnswrfcs	mean_top_net_short_wave_radiation_flux_clear_sky	single	mean rate
mtpr	mean_total_precipitation_rate	single	mean rate
dndza	mean_vertical_gradient_of_refractivity_inside_trapping_layer	single	instantaneous
mvimd	mean_vertically_integrated_moisture_divergence	single	mean rate
mwd	mean_wave_direction	single	instantaneous
mwd1	mean_wave_direction_of_first_swell_partition	single	instantaneous
mwd2	mean_wave_direction_of_second_swell_partition	single	instantaneous
mwd3	mean_wave_direction_of_third_swell_partition	single	instantaneous
mwp	mean_wave_period	single	instantaneous
mp1	mean_wave_period_based_on_first_moment	single	instantaneous
p1ps	mean_wave_period_based_on_first_moment_for_swell	single	instantaneous
p1ww	mean_wave_period_based_on_first_moment_for_wind_waves	single	instantaneous
p2ps	mean_wave_period_based_on_second_moment_for_swell	single	instantaneous
p2ww	mean_wave_period_based_on_second_moment_for_wind_waves	single	instantaneous
mwp1	mean_wave_period_of_first_swell_partition	single	instantaneous
mwp2	mean_wave_period_of_second_swell_partition	single	instantaneous
mwp3	mean_wave_period_of_third_swell_partition	single	instantaneous
mp2	mean_zero_crossing_wave_period	single	instantaneous
mcc	medium_cloud_cover	single	instantaneous
mn2t	minimum_2m_temperature_since_previous_post_processing	single	minimum
mntpr	minimum_total_precipitation_rate_since_previous_post_processing	single	minimum
dndzn	minimum_vertical_gradient_of_refractivity_inside_trapping_layer	single	instantaneous
wmb	model_bathymetry	single	instantaneous
alnid	near_ir_albedo_for_diffuse_radiation	single	instantaneous
alnip	near_ir_albedo_for_direct_radiation	single	instantaneous
phioc	normalized_energy_flux_into_ocean	single	instantaneous
phiaw	normalized_energy_flux_into_waves	single	instantaneous
tauoc	normalized_stress_into_ocean	single	instantaneous
mgws	northward_gravity_wave_surface_stress	single	accumulated
nsss	northward_turbulent_surface_stress	single	accumulated
pp1d	peak_wave_period	single	instantaneous
tmax	period_corresponding_to_maximum_individual_wave_height	single	instantaneous
pev	potential_evaporation	single	accumulated
ptype	precipitation_type	single	instantaneous
ro	runoff	single	accumulated
ci	sea_ice_cover	single	instantaneous
sst	sea_surface_temperature	single	instantaneous
swh	significant_height_of_combined_wind_waves_and_swell	single	instantaneous
shts	significant_height_of_total_swell	single	instantaneous
shww	significant_height_of_wind_waves	single	instantaneous
swh1	significant_wave_height_of_first_swell_partition	single	instantaneous
swh2	significant_wave_height_of_second_swell_partition	single	instantaneous
swh3	significant_wave_height_of_third_swell_partition	single	instantaneous
src	skin_reservoir_content	single	instantaneous
skt	skin_temperature	single	instantaneous
slor	slope_of_sub_gridscale_orography	single	invariant
asn	snow_albedo	single	instantaneous
rsn	snow_density	single	instantaneous
sd	snow_depth	single	instantaneous
es	snow_evaporation	single	accumulated
sf	snowfall	single	accumulated
smlt	snowmelt	single	accumulated
stl1	soil_temperature_level_1	single	instantaneous
stl2	soil_temperature_level_2	single	instantaneous
stl3	soil_temperature_level_3	single	instantaneous
stl4	soil_temperature_level_4	single	instantaneous
slt	soil_type	single	invariant
sdfor	standard_deviation_of_filtered_subgrid_orography	single	invariant
sdor	standard_deviation_of_orography	single	invariant
ssro	sub_surface_runoff	single	accumulated
slhf	surface_latent_heat_flux	single	accumulated
ssr	surface_net_solar_radiation	single	accumulated
ssrc	surface_net_solar_radiation_clear_sky	single	accumulated
str	surface_net_thermal_radiation	single	accumulated
strc	surface_net_thermal_radiation_clear_sky	single	accumulated
sp	surface_pressure	single	instantaneous
sro	surface_runoff	single	accumulated
sshf	surface_sensible_heat_flux	single	accumulated
ssrdc	surface_solar_radiation_downward_clear_sky	single	accumulated
ssrd	surface_solar_radiation_downwards	single	accumulated
strdc	surface_thermal_radiation_downward_clear_sky	single	accumulated
strd	surface_thermal_radiation_downwards	single	accumulated
tsn	temperature_of_snow_layer	single	instantaneous
tisr	toa_incident_solar_radiation	single	accumulated
tsr	top_net_solar_radiation	single	accumulated
tsrc	top_net_solar_radiation_clear_sky	single	accumulated
ttr	top_net_thermal_radiation	single	accumulated
ttrc	top_net_thermal_radiation_clear_sky	single	accumulated
tcc	total_cloud_cover	single	instantaneous
tciw	total_column_cloud_ice_water	single	instantaneous
tclw	total_column_cloud_liquid_water	single	instantaneous
tco3	total_column_ozone	single	instantaneous
tcrw	total_column_rain_water	single	instantaneous
tcsw	total_column_snow_water	single	instantaneous
tcslw	total_column_supercooled_liquid_water	single	instantaneous
tcw	total_column_water	single	instantaneous
tcwv	total_column_water_vapour	single	instantaneous
tp	total_precipitation	single	accumulated
fdir	total_sky_direct_solar_radiation_at_surface	single	accumulated
totalx	total_totals_index	single	instantaneous
tplb	trapping_layer_base_height	single	instantaneous
tplt	trapping_layer_top_height	single	instantaneous
tvh	type_of_high_vegetation	single	invariant
tvl	type_of_low_vegetation	single	invariant
ust	u_component_stokes_drift	single	instantaneous
aluvd	uv_visible_albedo_for_diffuse_radiation	single	instantaneous
aluvp	uv_visible_albedo_for_direct_radiation	single	instantaneous
vst	v_component_stokes_drift	single	instantaneous
viiwd	vertical_integral_of_divergence_of_cloud_frozen_water_flux	single	instantaneous
vilwd	vertical_integral_of_divergence_of_cloud_liquid_water_flux	single	instantaneous
vigd	vertical_integral_of_divergence_of_geopotential_flux	single	instantaneous
viked	vertical_integral_of_divergence_of_kinetic_energy_flux	single	instantaneous
vimad	vertical_integral_of_divergence_of_mass_flux	single	instantaneous
viwvd	vertical_integral_of_divergence_of_moisture_flux	single	instantaneous
viozd	vertical_integral_of_divergence_of_ozone_flux	single	instantaneous
vithed	vertical_integral_of_divergence_of_thermal_energy_flux	single	instantaneous
vitoed	vertical_integral_of_divergence_of_total_energy_flux	single	instantaneous
viiwe	vertical_integral_of_eastward_cloud_frozen_water_flux	single	instantaneous
vilwe	vertical_integral_of_eastward_cloud_liquid_water_flux	single	instantaneous
vige	vertical_integral_of_eastward_geopotential_flux	single	instantaneous
vithee	vertical_integral_of_eastward_heat_flux	single	instantaneous
vikee	vertical_integral_of_eastward_kinetic_energy_flux	single	instantaneous
vimae	vertical_integral_of_eastward_mass_flux	single	instantaneous
vioze	vertical_integral_of_eastward_ozone_flux	single	instantaneous
vitoee	vertical_integral_of_eastward_total_energy_flux	single	instantaneous
viwve	vertical_integral_of_eastward_water_vapour_flux	single	instantaneous
viec	vertical_integral_of_energy_conversion	single	instantaneous
vike	vertical_integral_of_kinetic_energy	single	instantaneous
vima	vertical_integral_of_mass_of_atmosphere	single	instantaneous
vimat	vertical_integral_of_mass_tendency	single	instantaneous
viiwn	vertical_integral_of_northward_cloud_frozen_water_flux	single	instantaneous
vilwn	vertical_integral_of_northward_cloud_liquid_water_flux	single	instantaneous
vign	vertical_integral_of_northward_geopotential_flux	single	instantaneous
